Absolute Date (BC),North Germany (Effenberger 2018),North Germany (Kneisel et al 2020),Denmark (Andreasen 2020),Cultures,Netherland (Fokken/Fontijn 2013) ,Cultures,Poland (Czebreszuk 2013),Cultures,Hungary (Filatova 2022),Slovakia (Ilon/Marková 2013),Cultures
2600 – 2500,,,,,,,,,Early Bronze Age,,Bell Beaker
2500 – 2400,,,,,,,,,Early Bronze Age,,Bell Beaker
2400 – 2300,,,,,,,,,Early Bronze Age,Early Bronze Age,"Bell Beaker, Makó-Kosihy-Čaka, Bošáca (Eneolithic), Somogyvár-Vinkovci,  Corded Ware, epi-Corded complex (Chłopice-Veselé, W-Sl., Košt‘any), Nagyrév, Beba Veche/Óbéba-Pitvaros, Otomani, Periam/Perjámos-Szöreg, Nyírség-Zatín"
2300 – 2200,,,,,,,Earliest Early Bronze Age,"Beaker (W+SW), (proto-)Únětice (W), Mierzanowice (S)",Early Bronze Age,Early Bronze Age,"Bell Beaker, Makó-Kosihy-Čaka, Bošáca (Eneolithic), Somogyvár-Vinkovci,  Corded Ware, epi-Corded complex (Chłopice-Veselé, W-Sl., Košt‘any), Nagyrév, Beba Veche/Óbéba-Pitvaros, Otomani, Periam/Perjámos-Szöreg, Nyírség-Zatín"
2200 - 2100,,,,,,,Earliest Early Bronze Age,"Beaker (W+SW), (proto-)Únětice (W), Mierzanowice (S)",Early Bronze Age,Early Bronze Age,"Early Maros (Tisza and Maros rivers), Nitra (SW-Sl.), Chłopice-Veselé, Únětice (S), Nagyrév, Otomani"
2100 – 2000,,,,,,,Earliest Early Bronze Age,"Beaker (W+SW), (proto-)Únětice (W), Mierzanowice (S)",Early Bronze Age,Early Bronze Age,"earliest Kisapostag, Transdanubian Encrusted Pottery (TEP), Gáta-Wieselburg, Únětice, Singen Group, Otomani"
2000 – 1900,,,,,Early Bronze Age,Barbed Wire Beaker,Early Bronze Age,"Trzciniec (W→ E), Mierzanowice (regional styles)",Early Bronze Age/Middle Bronze Age,Early Bronze Age,"Gáta-Wieselburg, TEP, Kisapostag (SW), Vatya, Füzesabony, Mad‘arovce, Singen Group, Litzenkeramik, Leithaprodersdorf"
1900 – 1800,,,,,Early Bronze Age,"Barbed Wire Beaker, Elp/Hilversum",Early Bronze Age,"Trzciniec (W→ E), Mierzanowice (regional styles)",Middle Bronze Age,Early Bronze Age,"Gáta-Wieselburg, TEP, Kisapostag (SW), Vatya, Füzesabony, Mad‘arovce, Singen Group, Litzenkeramik"
1800 – 1700,Early Bronze Age – Period I (Frühe Bronzezeit),Transition Phase – Period Ib,,Dagger Period,Middle Bronze Age A,Elp/Hilversum ,Early Bronze Age,"Trzciniec (W→ E), Mierzanowice (regional styles)",Middle Bronze Age,Early Bronze Age,"Gáta-Wieselburg, TEP, Kisapostag (SW), Vatya, Füzesabony, Mad‘arovce, Singen Group, Litzenkeramik"
1700 – 1600,Early Bronze Age – Period I,Transition Phase – Period Ib,Early Bronze Age,Dagger Period,Middle Bronze Age A,Elp/Hilversum ,Early Bronze Age,"Trzciniec (W→ E), Mierzanowice (regional styles), Otomani-Füzesabony (S)",Middle Bronze Age,Early Bronze Age,"Gáta-Wieselburg, TEP, Kisapostag (SW), Vatya, Füzesabony, Mad‘arovce, Singen Group, Litzenkeramik"
1600 – 1500,Early Bronze Age – Period I / Middle Bronze Age – Period II – III,Transition Phase – Period Ib,Early Bronze Age,Dagger Period,Middle Bronze Age A,"Drakenstein, Hoogkarspel Pottery",Middle Bronze Age,"Nordic (NW), Tumulus (SW), Trzciniec (W)",Middle Bronze Age,Early Bronze Age,"Koszider phase, late TEP, Vatya, Tumulus (Tápé, Egyek, Hajdúbagos), Gyulavarsánd, Piliny"
