Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Aba-Belsbáránd,1,MBA,1900-1450,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,35.8,35.8,xxx,NA
Aba-Belsbáránd,NA,MBA,1900-1451,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,50.1,50.1,xxxx,NA
Aba-Belsbáránd,NA,MBA,1900-1452,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,3.8,3.8,x,NA
Aba-Belsbáránd,NA,MBA,1900-1453,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,3.3,3.3,x,NA
Aba-Belsbáránd,NA,MBA,1900-1454,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,7,7,x,NA
Abda-Hármasok,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,56,56,xxxx,NA
Abda-Hármasok,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,16,16,xx,NA
Abda-Hármasok,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,19.7,19.7,xx,NA
Abda-Hármasok,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,1.9,1.9,x,NA
Abda-Hármasok,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,6.1,6.1,x,NA
Albertirsa-Kostyelik-udvar,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,43.7,43.7,xxxx,NA
Albertirsa-Kostyelik-udvar,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,12.2,12.2,x,NA
Albertirsa-Kostyelik-udvar,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,37.7,37.7,xxx,NA
