Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Ároktö-Dongóhalom,1,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,41.7,NA,NA,NA,NA,NA,xxx,xx,NA
Ároktö-Dongóhalom,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 2",Gathered Plants,Gathered Plants,58,NA,NA,NA,NA,NA,xxxx,xxx,NA
Ároktö-Dongóhalom,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,0.3,NA,NA,NA,NA,NA,x,x,NA
Ároktö-Dongóhalom,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,20,NA,NA,xx?,x?,NA
Ároktö-Dongóhalom,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,10,NA,NA,x?,x?,NA
Ároktö-Dongóhalom,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,70,NA,NA,xxx?,xxx?,NA
Balatonboglár-Szárszó,1,MBA,1900-1500,Unknown,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,100,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Balatonboglár-Szárszó,NA,MBA,1900-1500,Unknown,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,40,NA,NA,xxx?,xx?,NA
Balatonboglár-Szárszó,NA,MBA,1900-1500,Unknown,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,20,NA,NA,xx?,x?,NA
Balatonboglár-Szárszó,NA,MBA,1900-1500,Unknown,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,40,NA,NA,xxx?,xx?,NA
Balatonmagyaród-Hídvégpuszta,1,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,40,NA,NA,NA,NA,NA,xxx,xx,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,59.849999999999994,NA,NA,NA,NA,NA,xxxx,xxx,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,0.15000000000000002,NA,NA,NA,NA,NA,x,x,NA
