Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Ároktö-Dongóhalom,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,20,NA,NA,xx?,x?,NA
Ároktö-Dongóhalom,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,10,NA,NA,x?,x?,NA
Ároktö-Dongóhalom,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,70,NA,NA,xxx?,xxx?,NA
Balatonboglár-Szárszó,NA,MBA,1900-1500,Unknown,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,40,NA,NA,xxx?,xx?,NA
Balatonboglár-Szárszó,NA,MBA,1900-1500,Unknown,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,20,NA,NA,xx?,x?,NA
Balatonboglár-Szárszó,NA,MBA,1900-1500,Unknown,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,40,NA,NA,xxx?,xx?,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,10.9,NA,NA,x?,x?,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,10.9,NA,NA,x?,x?,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,44.5,NA,NA,xxx?,xx?,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,33.7,NA,NA,xx?,xx?,NA
Baracs-Bottyánsánc,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,26.9,NA,NA,xx?,xx?,NA
Baracs-Bottyánsánc,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,18.5,NA,NA,x?,x?,NA
