Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Presence_Absence,Semi_Quantitative_old,Semi_Quantitative
G,Kratzeburg,BA,1800-600,1,Unknown,Harding 2000,cattle,cattle,76,x,xxx,xxxx
G,Kratzeburg,BA,1800-600,,Unknown,Harding 2000,sheep/goat,caprines,17,x,x,x
G,Kratzeburg,BA,1800-600,,Unknown,Harding 2000,pig,pig,5.0,x,x,x
G,Kratzeburg,BA,1800-600,,Unknown,Harding 2000,wild,wild,2.0,x,x,x
G,Wüste Kunersdorf,BA,1800-600,1,Unknown,Harding 2000,cattle,cattle,53,x,xxxx,xxx
G,Wüste Kunersdorf,BA,1800-600,,Unknown,Harding 2000,sheep/goat,caprines,16.0,x,x,x
G,Wüste Kunersdorf,BA,1800-600,,Unknown,Harding 2000,pig,pig,26,x,xx,xx
G,Wüste Kunersdorf,BA,1800-600,,Unknown,Harding 2000,horse,horse,3.0,x,x,x
G,Wüste Kunersdorf,BA,1800-600,,Unknown,Harding 2000,wild,wild,2.0,x,x,x
G,Zitz,BA,1800-600,1,Unknown,Harding 2000,cattle,cattle,48,x,xxxx,xx
G,Zitz,BA,1800-600,,Unknown,Harding 2000,sheep/goat,caprines,17,x,xx,x
G,Zitz,BA,1800-600,,Unknown,Harding 2000,pig,pig,22,x,xx,x
G,Zitz,BA,1800-600,,Unknown,Harding 2000,horse,horse,8.0,x,x,x
G,Zitz,BA,1800-600,,Unknown,Harding 2000,wild,wild,1.0,x,x,x
NL,Zwaagdijk-oost,BA,2000-800,1,,van Amerongen 2014,Cervus elaphus,Cervus elaphus,,x,?,?
NL,Zwaagdijk-oost,BA,2000-800,,,van Amerongen 2014,Sus scrofa,Sus scrofa,,0,0,0
NL,Zwaagdijk-oost,BA,2000-800,,,van Amerongen 2014,Ursus arctos,Ursus arctos,,0,0,0
NL,Zwaagdijk-oost,BA,2000-800,,,van Amerongen 2014,Anas platyrhynchos,Anas platyrhynchos,,0,0,0
