Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum nudum,Hordeum nudum,NA,63,38,NA,x,xxxx,xxx,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Panicum miliaceum,Panicum miliaceum,NA,1,1,NA,x,x,x,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum aestivum,Triticum aestivum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum dicoccum,Triticum dicoccum,NA,17,10,NA,0,x,x,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum spelta,Triticum spelta,NA,7,4,NA,0,x,x,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,1,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,3,3,NA,x,x,x,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare,Hordeum vulgare,NA,1,1,NA,x,x,x,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum nudum,Hordeum nudum,NA,4,4,NA,x,x,x,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Panicum miliaceum,Panicum miliaceum,NA,1,1,NA,x,x,x,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum aestivum,Triticum aestivum,NA,0,0,NA,0,0,0,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum dicoccum,Triticum dicoccum,NA,0,0,NA,0,0,0,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum spelta,Triticum spelta,NA,0,0,NA,0,0,0,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Triticum turgidum,Triticum turgidum,NA,NA,NA,NA,0,0,0,NA,NA
DK,Højene,BA,1700-500,NA,Unknown,Andreasen 2020,Hordeum nudum,Hordeum nudum,NA,NA,80,NA,NA,xx,x,NA,NA
DK,Højene,BA,1700-500,NA,Unknown,Andreasen 2020,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,NA,24,NA,NA,x,x,NA,NA
DK,Højene,BA,1700-500,NA,Unknown,Andreasen 2020,Secale cereale,Secale cereale,NA,NA,12,NA,NA,x,x,NA,NA
DK,Højene,BA,1700-500,NA,Unknown,Andreasen 2020,Triticum aestivum,Triticum aestivum,NA,NA,123474,NA,NA,xxxx,xxxx,NA,NA
DK,Højene,BA,1700-500,NA,Unknown,Andreasen 2020,Triticum monococcum,Triticum monococcum,NA,NA,32,NA,NA,x,x,NA,NA
DK,Højene,BA,1700-500,NA,Unknown,Andreasen 2020,Camelina sativa,Camelina sativa,NA,NA,60,NA,NA,xx,x,NA,NA
DK,Højene,BA,1700-500,NA,Unknown,Andreasen 2020,Linum usitatissimum,Linum usitatissimum,NA,NA,8,NA,NA,x,x,NA,NA
