Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
DK,"Djursland, Selkær 3-aisled",BA,1700-500,1,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,0,0,NA,x,?,?,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare,Hordeum vulgare,NA,0,0,NA,x,?,?,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum aestivum,Triticum aestivum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Selkær 3-aisled",BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum aestivum,Triticum aestivum,NA,0,0,NA,0,0,0,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum dicoccum,Triticum dicoccum,NA,0,0,NA,0,0,0,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Glesborg (ploughsoil),BA,1700-500,NA,Unknown,"Robinson 2003, Table 7",Triticum spelta,Triticum spelta,NA,0,0,NA,0,0,0,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Avena sp.,Avena sp.,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Hordeum nudum,Hordeum nudum,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Triticum aestivum,Triticum aestivum,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Triticum turgidum,Triticum turgidum,NA,NA,NA,NA,0,0,0,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Triticum dicoccum,Triticum dicoccum,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Triticum monococcum,Triticum monococcum,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Triticum spelta,Triticum spelta,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Bromus sp.,Bromus sp.,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Chenopodium album,Chenopodium album,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Corylus avellana,Corylus avellana,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Malus sylvestris,Malus sylvestris,NA,NA,NA,NA,x,?,?,NA,NA
DK,Hestehaven,BA,1700-500,NA,Unknown,Jensen et al 2020,Quercus sp.,Quercus sp.,NA,NA,NA,NA,x,?,?,NA,NA
DK,Bjerre Enge 2&3,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 3",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,0,0,NA,0,0,0,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Camelina sativa,Camelina sativa,NA,0,NA,NA,0,0,0,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Panicum miliaceum,Panicum miliaceum,NA,0,NA,NA,0,0,0,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Secale cereale,Secale cereale,NA,0,NA,NA,0,0,0,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,Effenberger 2018,Corylus avellana,Corylus avellana,NA,NA,NA,80,x,xxx?,xxxx?,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,Effenberger 2018,Quercus sp.,Quercus sp.,NA,NA,NA,40,x,xx?,xx?,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,Effenberger 2018,Arrhenatherum el. Ssp. Bulbosum,Arrhenatherum el. Ssp. Bulbosum,NA,NA,NA,20.2,x,x?,x?,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,Effenberger 2018,Rubus fruticosus,Rubus sp.,NA,NA,NA,10,x,x?,x?,NA,NA
DK,Denmark,EBA,1700-1000,NA,Grave,Effenberger 2018,Corylus avellana,Corylus avellana,NA,NA,NA,100,x,xxxx?,xxxx?,NA,NA
DK,Denmark,EBA,1700-1000,NA,Grave,Effenberger 2018,Arrhenatherum el. Ssp. Bulbosum,Arrhenatherum el. Ssp. Bulbosum,NA,NA,NA,100,x,xxxx?,xxxx?,NA,NA
DK,Denmark,EBA,1700-1000,NA,Grave,Effenberger 2018,Rubus idaeus,Rubus sp.,NA,NA,NA,100,x,xxxx?,xxxx?,NA,NA
DK,"Djursland, Hem. Pl. A210 (3-aisled)",EBA,1700-1000,1,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Pl. A210 (3-aisled)",EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Pl. A210 (3-aisled)",EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Panicum miliaceum,Panicum miliaceum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Pl. A210 (3-aisled)",EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Triticum aestivum,Triticum aestivum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Pl. A210 (3-aisled)",EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Egehøj,EBA,1700-1000,1,Unknown,"Robinson 2003, Table 5",Camelina sativa,Camelina sativa,NA,0,0,NA,0,0,0,NA,NA
DK,Egehøj,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 5",Hordeum nudum,Hordeum nudum,NA,0,0,NA,0,0,0,NA,NA
DK,Egehøj,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 5",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,Egehøj,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 5",Panicum miliaceum,Panicum miliaceum,NA,0,0,NA,0,0,0,NA,NA
DK,Egehøj,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 5",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Egehøj,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 5",Triticum spelta,Triticum spelta,NA,0,0,NA,0,0,0,NA,NA
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 34",Camelina sativa,Camelina sativa,NA,NA,NA,25.2,x,xx?,xx?,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Linum usitatissimum,Linum usitatissimum,NA,0,0,NA,0,0,0,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3","Hordeum vulgare (rachis, glumes)",Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,0,0,NA,0,0,0,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,0,0,NA,0,0,0,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,0,0,0,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Corylus avellana,Corylus avellana,NA,NA,NA,55.4,x,xx?,xxx?,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Arrhenatherum el. Ssp. Bulbosum,Arrhenatherum el. Ssp. Bulbosum,NA,NA,NA,55.4,x,xx?,xxx?,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Rubus idaeus,Rubus sp.,NA,NA,NA,22.1,x,x?,x?,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Rubus fruticosus,Rubus sp.,NA,NA,NA,11.1,x,x?,x?,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Crataegus sp.,Crataegus sp.,NA,NA,NA,11.1,x,x?,x?,NA,NA
DK,Denmark North Sea Coast,LBA,1100-600,1,Unknown,"Effenberger 2018, Abb. 34",Linum usitatissimum,Linum usitatissimum,NA,NA,NA,30.9,x,x?,xx?,NA,NA
DK,Denmark North Sea Coast,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 34",Camelina sativa,Camelina sativa,NA,NA,NA,43.3,x,x?,xx?,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,1,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Panicum miliaceum,Panicum miliaceum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,1,Unknown,"Robinson 2003, Table 7",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Triticum spelta,Triticum spelta,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Panicum miliaceum,Panicum miliaceum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Triticum aestivum,Triticum aestivum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Triticum dicoccum,Triticum dicoccum,NA,0,0,NA,0,0,0,NA,NA
DK,Denmark,MBA,1500-1100,NA,Unknown,Effenberger 2018,Corylus avellana,Corylus avellana,NA,NA,NA,34.8,x,x,xx?,NA,NA
DK,Denmark,MBA,1500-1100,NA,Unknown,Effenberger 2018,Quercus sp.,Quercus sp.,NA,NA,NA,8.4,x,x,x?,NA,NA
DK,Denmark,MBA,1500-1100,NA,Unknown,Effenberger 2018,Arrhenatherum el. Ssp. Bulbosum,Arrhenatherum el. Ssp. Bulbosum,NA,NA,NA,50,x,xx,xxx?,NA,NA
DK,Denmark,MBA,1500-1100,NA,Unknown,Effenberger 2018,Rubus idaeus,Rubus sp.,NA,NA,NA,8.2,x,x,x?,NA,NA
DK,Denmark,MBA,1500-1100,NA,Unknown,Effenberger 2018,Rubus fruticosus,Rubus sp.,NA,NA,NA,8.2,x,x,x?,NA,NA
DK,Denmark,MBA,1500-1100,NA,Unknown,Effenberger 2018,Malus sp.,Malus sp.,NA,NA,NA,8.2,x,x,x?,NA,NA
DK,Denmark,MBA,1500-1100,NA,Unknown,Effenberger 2018,Fragaria sp.,Fragraria sp.,NA,NA,NA,16.6,x,x,x?,NA,NA
DK,Denmark,MBA,1500-1100,NA,Unknown,Effenberger 2018,Crataegus sp.,Crataegus sp.,NA,NA,NA,8.2,x,x,x?,NA,NA
DK,Denmark Geest,MBA,1500-1100,1,Unknown,"Effenberger 2018, Abb. 34",Linum usitatissimum,Linum usitatissimum,NA,NA,NA,20,x,x,x?,NA,NA
DK,Denmark North Sea Coast,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 34",Linum usitatissimum,Linum usitatissimum,NA,NA,NA,11.3,x,x,x?,NA,NA
DK,Southern Scandinavia/North Sea Coast,MBA,1500-1100,1,Unknown,Stika/Heiss 2014,Vicia faba,Vicia faba,NA,NA,0,NA,0,0,0,NA,NA
DK,Southern Scandinavia/North Sea Coast,MBA,1500-1100,NA,Unknown,Stika/Heiss 2014,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
G,Germany,EBA,1800-1500,1,Unknown,Effenberger 2018,Corylus avellana,Corylus avellana,NA,NA,NA,100,x,xxxx?,xxxx?,NA,NA
G,Germany,EBA,1800-1500,NA,Unknown,Effenberger 2018,Quercus sp.,Quercus sp.,NA,NA,NA,40,x,xx?,xx?,NA,NA
G,Germany,EBA,1800-1500,NA,Unknown,Effenberger 2018,Rubus idaeus,Rubus sp.,NA,NA,NA,80,x,xxx?,xxxx?,NA,NA
G,Germany,EBA,1800-1500,NA,Unknown,Effenberger 2018,Rubus fruticosus,Rubus sp.,NA,NA,NA,40,x,xx?,xx?,NA,NA
G,Mecklenburg-Vorpommern,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 34",Pisum sativum,Pisum sativum,NA,NA,NA,100,x,xxxx?,xxxx?,NA,NA
G,South Schleswig-Holstein,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 34",Pisum sativum,Pisum sativum,NA,NA,NA,25,x,x?,xx?,NA,NA
G,Southern Scandinavia/North Sea Coast,EBA,1100-600,1,Unknown,Stika/Heiss 2014,Vicia faba,Vicia faba,NA,NA,0,NA,0,0,0,NA,NA
G,Southern Scandinavia/North Sea Coast,EBA,1100-600,NA,Unknown,Stika/Heiss 2014,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
G,Oldendrop/Ldkr. Leer,EIA,800-500,NA,Unknown,Kučan 2007,Hordeum vulgare nudum,Hordeum vulgare nudum,NA,NA,0,NA,0,0,0,NA,NA
G,Oldendrop/Ldkr. Leer,EIA,800-500,NA,Unknown,Kučan 2007,Avena sativa,Avena sativa,NA,NA,0,NA,0,0,0,NA,NA
G,Oldendrop/Ldkr. Leer,EIA,800-500,NA,Unknown,Kučan 2007,Avena fatua,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
G,Oldendrop/Ldkr. Leer,EIA,800-500,NA,Unknown,Kučan 2007,Avena sp.,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
G,Oldendrop/Ldkr. Leer,EIA,800-500,NA,Unknown,Kučan 2007,Triticum monococcum,Triticum monococcum,NA,NA,0,NA,0,0,0,NA,NA
G,Oldendrop/Ldkr. Leer,EIA,800-500,NA,Unknown,Kučan 2007,Triticum spelta,Triticum spelta,NA,NA,0,NA,0,0,0,NA,NA
G,Oldendrop/Ldkr. Leer,EIA,800-500,NA,Unknown,Kučan 2007,Triticum aestivum s.l.,Triticum aestivum s.l.,NA,NA,0,NA,0,0,0,NA,NA
G,Oldendrop/Ldkr. Leer,EIA,800-500,NA,Unknown,Kučan 2007,Secale cereale,Secale cereale,NA,NA,0,NA,0,0,0,NA,NA
