Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Abda-Hármasok,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,56,56,xxxx,NA
Abda-Hármasok,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,16,16,xx,NA
Abda-Hármasok,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,19.7,19.7,xx,NA
Abda-Hármasok,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,1.9,1.9,x,NA
Abda-Hármasok,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,6.1,6.1,x,NA
Albertirsa-Kostyelik-udvar,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,43.7,43.7,xxxx,NA
Albertirsa-Kostyelik-udvar,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,12.2,12.2,x,NA
Albertirsa-Kostyelik-udvar,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,37.7,37.7,xxx,NA
Albertirsa-Kostyelik-udvar,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,6.4,6.4,x,NA
Aszód-Gépállomás,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,51.1,51.1,xxxx,NA
Aszód-Gépállomás,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,20.9,20.9,xx,NA
Aszód-Gépállomás,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,24.5,24.5,xx,NA
Aszód-Gépállomás,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,3.5,3.5,x,NA
Budapest-Sztregova utca,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,24.5,24.5,xx,NA
Budapest-Sztregova utca,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,1.6,1.6,x,NA
Budapest-Sztregova utca,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,7.7,7.7,x,NA
Budapest-Sztregova utca,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,14.1,14.1,xx,NA
Budapest-Sztregova utca,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,52.2,52.2,xxxx,NA
Csepel-Hajós,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,33.4,33.4,xx,NA
Csepel-Hajós,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,10.8,10.8,x,NA
Csepel-Hajós,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,55.8,55.8,xxxx,NA
Csepel-Háros,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,26.4,26.4,xx,NA
Csepel-Háros,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,9.6,9.6,x,NA
Csepel-Háros,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,8.2,8.2,x,NA
Csepel-Háros,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,47.1,47.1,xxx,NA
Csepel-Háros,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,8.7,8.7,x,NA
Csongrád-Petöfi Tsz,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,51.3,51.3,xxxx,NA
Csongrád-Petöfi Tsz,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,24.4,24.4,xx,NA
Csongrád-Petöfi Tsz,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,21.2,21.2,xx,NA
Csongrád-Petöfi Tsz,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,3.1,3.1,x,NA
Dombóvár-Tesco,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,52,52,xxxx,NA
Dombóvár-Tesco,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,30.8,30.8,xxx,NA
Dombóvár-Tesco,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,15.7,15.7,xx,NA
Dombóvár-Tesco,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,0.7,0.7,x,NA
Dombóvár-Tesco,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,2.6,2.6,x,NA
Fertöboz-Gradinahegy,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,57.2,57.2,xxxx,NA
Fertöboz-Gradinahegy,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,16.4,16.4,xx,NA
