Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Börcs,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,53,NA,53,xxxx,NA
Börcs,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,21,NA,21,xx,NA
Börcs,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,13,NA,13,x,NA
Börcs,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,horse,5,NA,5,x,NA
Börcs,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,dog,1,NA,1,x,NA
Börcs,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,wild,7,NA,7,x,NA
Börcs-Paphomlok-dülö,1,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",cattle,NA,56.5,56.5,xxxx,"Likely the same as Börcs, but as it is not completely sure, left like this."
Börcs-Paphomlok-dülö,NA,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",caprine,NA,21.9,21.9,xx,NA
Börcs-Paphomlok-dülö,NA,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",pig,NA,13.6,13.6,x,NA
Börcs-Paphomlok-dülö,NA,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",horse,NA,1.4,1.4,x,NA
Börcs-Paphomlok-dülö,NA,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",large game,NA,6.6,6.6,x,NA
Csanádpalota-Földvár,1,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,dog,6,NA,6,x,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,horse,16,NA,16,xx,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,pig,17,NA,17,xx,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,caprine,24,NA,24,xxx,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,cattle,37,NA,37,xxxx,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,rodent,1,NA,1,x,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,wild,12,NA,12,x,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,mollusc,17,NA,17,xx,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,domesticates,69,NA,69,xxxx,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Hillfort Settlement,Pre-Gáva,Szevérenyi et al 2015,bird,1,NA,1,x,NA
Deuş,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,30,NA,30,xxx,NA
Deuş,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,34,NA,34,xxxx,NA
Deuş,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,16,NA,16,xx,NA
Deuş,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,horse,5,NA,5,x,NA
Deuş,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,dog,1,NA,1,x,NA
Deuş,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,wild,14,NA,14,xx,NA
Iernut,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,49,NA,49,xxxx,NA
Iernut,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,10,NA,10,xx,NA
Iernut,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,41,NA,41,xxx,NA
