Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Aba-Belsbáránd,1,MBA,1900-1450,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,35.8,35.8,xxx,NA
Aba-Belsbáránd,NA,MBA,1900-1451,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,50.1,50.1,xxxx,NA
Aba-Belsbáránd,NA,MBA,1900-1452,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,3.8,3.8,x,NA
Aba-Belsbáránd,NA,MBA,1900-1453,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,3.3,3.3,x,NA
Aba-Belsbáránd,NA,MBA,1900-1454,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,7,7,x,NA
Alsóvadász-Várdomb,1,eMBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,32.4,32.4,xxxx,NA
Alsóvadász-Várdomb,NA,eMBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,27.8,27.8,xxx,NA
Alsóvadász-Várdomb,NA,eMBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,26.1,26.1,xxx,NA
Alsóvadász-Várdomb,NA,eMBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,1.7,1.7,x,NA
Alsóvadász-Várdomb,NA,eMBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,12,12,xx,NA
Alsóvadász-Várdomb,1,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,33.9,33.9,xxxx,NA
Alsóvadász-Várdomb,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,31.7,31.7,xxx,NA
Alsóvadász-Várdomb,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,26.3,26.3,xx,NA
