Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Biatorbágy-Hosszúrét,1,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,97.1,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Biatorbágy-Hosszúrét,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,2.9,NA,NA,NA,NA,NA,x,x,NA
"Budakalász M0 motorway, 12",1,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,91.2,NA,NA,NA,NA,NA,xxxx,xxxx,NA
"Budakalász M0 motorway, 12",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,1.5,NA,NA,NA,NA,NA,x,x,NA
"Budakalász M0 motorway, 12",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,1.4,NA,NA,NA,NA,NA,x,x,NA
"Budakalász M0 motorway, 12",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Gathered Plants,Gathered Plants,4.5,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Albertfalva-Hunyadi J.U",1,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,72.3,NA,NA,NA,NA,NA,xxxx,xxx,NA
"Budapest, Albertfalva-Hunyadi J.U",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,0.3,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Albertfalva-Hunyadi J.U",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,27.4,NA,NA,NA,NA,NA,xx,xx,NA
"Budapest, Corvin tér",1,EBA,2600-1900,Unknown,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,98.62,NA,NA,NA,NA,NA,xxxx,xxxx,NA
"Budapest, Corvin tér",NA,EBA,2600-1900,Unknown,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,1.38,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Csepel-Hollandi u.",1,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,52.9,NA,NA,NA,NA,NA,xxxx,xxx,NA
"Budapest, Csepel-Hollandi u.",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Panicoideae,Wild plants/weeds,0.9,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Csepel-Hollandi u.",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,46.2,NA,NA,NA,NA,NA,xxx,xx,NA
Dunakeszi-Székesdülö,1,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,93.2,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Dunakeszi-Székesdülö,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,677,NA,NA,NA,NA,NA,x,x,NA
Endröd 161,1,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,69.2,NA,NA,NA,NA,NA,xxxx,xxx,NA
Endröd 161,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,1.2,NA,NA,NA,NA,NA,x,x,NA
Endröd 161,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,27.4,NA,NA,NA,NA,NA,xx,xx,NA
Endröd 161,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,2.2,NA,NA,NA,NA,NA,x,x,NA
Hungary,1,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,1256,NA,NA,NA,NA,xxxx,xxxx,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,17,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Triticum aestivum,Triticum aestivum/durum,NA,3,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,84,NA,NA,NA,NA,xx,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Triticum turgidum ssp. Dicoccon,Triticum dicoccum,NA,101,NA,NA,NA,NA,xxx,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Panicum miliaceum,Panicum miliaceum,NA,9,NA,NA,NA,NA,x,x,NA
