Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Biatorbágy-Hosszúrét,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,66.5,NA,NA,xxx?,xxx?,NA
Biatorbágy-Hosszúrét,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,33.5,NA,NA,xx?,xx?,NA
"Budakalász M0 motorway, 12",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,44.3,NA,NA,xx?,xx?,NA
"Budakalász M0 motorway, 12",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,11.1,NA,NA,x?,x?,NA
"Budakalász M0 motorway, 12",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,11.1,NA,NA,x?,x?,NA
"Budakalász M0 motorway, 12",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,11.1,NA,NA,x?,x?,NA
"Budakalász M0 motorway, 12",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,22.5,NA,NA,x?,x?,NA
"Budapest, Albertfalva-Hunyadi J.U",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,8.9,NA,NA,x?,x?,NA
"Budapest, Albertfalva-Hunyadi J.U",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,3.5,NA,NA,x?,x?,NA
"Budapest, Albertfalva-Hunyadi J.U",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,1.5,NA,NA,x?,x?,NA
"Budapest, Albertfalva-Hunyadi J.U",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,3.5,NA,NA,x?,x?,NA
"Budapest, Albertfalva-Hunyadi J.U",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,82.5,NA,NA,xxxx?,xxxx?,NA
"Budapest, Corvin tér",NA,EBA,2600-1900,Unknown,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,75.2,NA,NA,xxx?,xxxx?,NA
