Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,10.9,NA,NA,x?,x?,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,10.9,NA,NA,x?,x?,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,44.5,NA,NA,xxx?,xx?,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,33.7,NA,NA,xx?,xx?,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,28.2,NA,NA,x?,xx?,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,7.4,NA,NA,x?,x?,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,7.4,NA,NA,x?,x?,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,7.1,NA,NA,x?,x?,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,50,NA,NA,xxx?,xxx?,NA
"Budapest, Albertfalva-Kitérö út",NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,23.9,NA,NA,xx?,x?,NA
"Budapest, Albertfalva-Kitérö út",NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,3.2,NA,NA,x?,x?,NA
"Budapest, Albertfalva-Kitérö út",NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,7.1,NA,NA,x?,x?,NA
"Budapest, Albertfalva-Kitérö út",NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,26,NA,NA,xx?,xx?,NA
"Budapest, Albertfalva-Kitérö út",NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,55.2,NA,NA,xxx?,xxx?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,5.9,NA,NA,x?,x?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,1.2,NA,NA,x?,x?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,7.4,NA,NA,x?,x?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,3.2,NA,NA,x?,x?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,82.3,NA,NA,xxxx?,xxxx?,NA
