Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Presence_Absence,Semi_Quantitative,...13
NL,Bovenkarspel,MBA-LBA,1800-800,1,Unknown,van Amerongen 2015,eel (Anguilla anguilla),eel (Anguilla anguilla),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,carps (Cyprinidae indet.),carps (Cyprinidae indet.),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,pike (Esox lucius),pike (Esox lucius),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,bream (Abramis brama),bream (Abramis brama),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,perch (Perca fluviatilis),perch (Perca fluviatilis),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,silver bream (Blicca bjoerkna),silver bream (Blicca bjoerkna),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,3-spined stickleback (Gasterosteus aculeatus),3-spined stickleback (Gasterosteus aculeatus),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,mullets (Mugilidae indet.),mullets (Mugilidae indet.),NA,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,Flatfishes (Pleuronectidae indet.),Flatfishes (Pleuronectidae indet.),NA,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,roach (Rutilus rutiulus),roach (Rutilus rutiulus),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,bleak (Alburnus alburnus),bleak (Alburnus alburnus),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,sea bass (Dicentrarchus labrax),sea bass (Dicentrarchus labrax),NA,0,0,0
