Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
DK,Baltic Sea Coast/Islands,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,10,NA,NA,x,xx,x,NA,NA
DK,Baltic Sea Coast/Islands,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,40,NA,NA,x,xxxx,xx,NA,NA
DK,Baltic Sea Coast/Islands,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum dicoccum,Triticum dicoccum,NA,22,NA,NA,x,xxx,x,NA,NA
DK,Baltic Sea Coast/Islands,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum monococcum,Triticum monococcum,NA,3.8,NA,NA,x,x,x,NA,NA
DK,Baltic Sea Coast/Islands,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum cf. Spelta,Triticum cf. Spelta,NA,4.1,NA,NA,x,x,x,NA,NA
DK,Baltic Sea Coast/Islands,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,14.3,NA,NA,x,xx,x,NA,NA
DK,Baltic Sea Coast/Islands,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Panicum miliaceum,Panicum miliaceum,NA,1.6,NA,NA,x,x,x,NA,NA
DK,Baltic Sea Coast/Islands,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Avena sp.,Avena sp.,NA,4.1,NA,NA,x,x,x,NA,NA
DK,Middle Jutland,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,19,NA,NA,x,xx,x,NA,NA
DK,Middle Jutland,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,31.7,NA,NA,x,xxxx,xx,NA,NA
DK,Middle Jutland,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum dicoccum,Triticum dicoccum,NA,17,NA,NA,x,xx,x,NA,NA
DK,Middle Jutland,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum monococcum,Triticum monococcum,NA,1.4,NA,NA,x,x,x,NA,NA
DK,Middle Jutland,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum cf. Spelta,Triticum cf. Spelta,NA,12.5,NA,NA,x,xx,x,NA,NA
DK,Middle Jutland,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,5.6,NA,NA,x,x,x,NA,NA
DK,Middle Jutland,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Avena sp.,Avena sp.,NA,9.8,NA,NA,x,x,x,NA,NA
DK,Middle Jutland,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Avena sativa,Avena sativa,NA,3,NA,NA,x,x,x,NA,NA
DK,North Sea Coast/Thy,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,7.9,NA,NA,x,x,x,NA,NA
DK,North Sea Coast/Thy,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,31.7,NA,NA,x,xxxx,xx,NA,NA
DK,North Sea Coast/Thy,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum dicoccum,Triticum dicoccum,NA,25.2,NA,NA,x,xxx,xx,NA,NA
DK,North Sea Coast/Thy,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum monococcum,Triticum monococcum,NA,6.3,NA,NA,x,x,x,NA,NA
DK,North Sea Coast/Thy,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum cf. Spelta,Triticum cf. Spelta,NA,14.1,NA,NA,x,xx,x,NA,NA
DK,North Sea Coast/Thy,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,10.5,NA,NA,x,xx,x,NA,NA
DK,North Sea Coast/Thy,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 31",Avena sp.,Avena sp.,NA,4.3,NA,NA,x,x,x,NA,NA
DK,Southern Scandinavia/North Sea Coast,MBA,1500-1100,1,Unknown,Stika/Heiss 2014,Vicia faba,Vicia faba,NA,NA,0,NA,0,0,0,NA,NA
DK,Southern Scandinavia/North Sea Coast,MBA,1500-1100,NA,Unknown,Stika/Heiss 2014,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
DK,Southern Scandinavia/North Sea Coast,MBA,1500-1100,NA,Unknown,Stika/Heiss 2014,Linum usitatissimum,Linum usitatissimum,NA,NA,1,NA,x,x,x,NA,NA
G,North Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,33.7,NA,NA,x,xxx,xx,NA,NA
G,North Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,19.3,NA,NA,x,xx,x,NA,NA
G,North Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Triticum dicoccum,Triticum dicoccum,NA,35.7,NA,NA,x,xxxx,xx,NA,NA
G,North Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Triticum spelta,Triticum spelta,NA,5.6,NA,NA,x,x,x,NA,NA
G,North Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Avena sp.,Avena sp.,NA,5.7,NA,NA,x,x,x,NA,NA
G,South Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,20,NA,NA,x,xxx,x,NA,NA
G,South Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,13.3,NA,NA,x,xx,x,NA,NA
G,South Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Triticum dicoccum,Triticum dicoccum,NA,46.5,NA,NA,x,xxxx,xx,NA,NA
G,South Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Triticum monococcum,Triticum monococcum,NA,6.5,NA,NA,x,x,x,NA,NA
G,South Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Triticum spelta,Triticum spelta,NA,10.2,NA,NA,x,xx,x,NA,NA
G,South Schleswig-Holstein,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 29",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,3.5,NA,NA,x,x,x,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,1,Unknown,Kučan 2007,Hordeum vulgare,Hordeum vulgare,NA,NA,>100,NA,x,xxx,xx,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Hordeum vulgare nudum,Hordeum vulgare nudum,NA,NA,<=50,NA,x,x,x,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Avena sativa,Avena sativa,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Avena fatua,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Avena sp.,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Triticum dicoccum,Triticum dicoccum,NA,NA,>100,NA,x,xxx,xx,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Triticum monococcum,Triticum monococcum,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Triticum spelta,Triticum spelta,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Triticum aestivum s.l.,Triticum aestivum s.l.,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Secale cereale,Secale cereale,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Panicum miliaceum,Panicum miliaceum,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Linum usitatissimum,Linum usitatissimum,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Vicia faba var. Minor,Vicia faba var. Minor,NA,NA,0,NA,0,0,0,NA,NA
G,Brill/Ldkr. Wittmund,MBA B,1200-1000,NA,Unknown,Kučan 2007,Pisum sativum,Pisum sativum,NA,NA,0,NA,0,0,0,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,1,Unknown,Kučan 2007,Hordeum vulgare,Hordeum vulgare,NA,NA,>100,NA,x,xxx,x,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Hordeum vulgare nudum,Hordeum vulgare nudum,NA,NA,<=50,NA,x,x,x,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Avena sativa,Avena sativa,NA,NA,0,NA,0,0,0,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Avena fatua,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Avena sp.,Avena sp.,NA,NA,<=50,NA,x,x,x,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Triticum dicoccum,Triticum dicoccum,NA,NA,>100,NA,x,xxx,x,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Triticum monococcum,Triticum monococcum,NA,NA,<=50,NA,x,x,x,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Triticum spelta,Triticum spelta,NA,NA,0,NA,0,0,0,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Triticum aestivum s.l.,Triticum aestivum s.l.,NA,NA,<=50,NA,x,x,x,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Secale cereale,Secale cereale,NA,NA,1-2,NA,x,x,x,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Panicum miliaceum,Panicum miliaceum,NA,NA,>100,NA,x,xxx,x,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Linum usitatissimum,Linum usitatissimum,NA,NA,0,NA,0,0,0,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Vicia faba var. Minor,Vicia faba var. Minor,NA,NA,0,NA,0,0,0,NA,NA
G,Rullstorf/ Ldkr. Lüneburg,MBA B,1300-1100,NA,Unknown,Kučan 2007,Pisum sativum,Pisum sativum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,1,Unknown,"de Hingh 2000, Table 7.1",Hordeum vulgare,Hordeum vulgare,NA,NA,29,NA,x,x,x,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 7.1",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,NA,202,NA,x,xxx,x,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 7.1",Panicum miliaceum,Panicum miliaceum,NA,NA,5,NA,x,x,x,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 7.1",Triticum aestivum,Triticum aestivum,NA,NA,436.5,NA,x,xxx,xx,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 7.1",Triticum dicoccum,Triticum dicoccum,NA,NA,652,NA,x,xxxx,xx,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 7.1",Triticum monococcum,Triticum monococcum,NA,NA,2,NA,x,x,x,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 7.1",Corylus avellana,Corylus avellana,NA,NA,0,NA,0,0,0,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 7.1",Quercus sp.,Quercus sp.,NA,NA,89,NA,x,xx,x,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 7.1",Chenopodium album,Chenopodium album,NA,NA,75,NA,x,xx,x,NA,NA
NL,Netherlands,MBA,1500-1100,NA,Unknown,"Effenberger 2018, Abb. 33",Hordeum vulgare vulgare,Hordeum vulgare vulgare,NA,36.9,NA,NA,x,xxxx,xx,NA,NA
NL,Netherlands,MBA,1500-1101,NA,Unknown,"Effenberger 2018, Abb. 33",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,23.5,NA,NA,x,xxx,x,NA,NA
NL,Netherlands,MBA,1500-1102,NA,Unknown,"Effenberger 2018, Abb. 33",Triticum dicoccum,Triticum dicoccum,NA,35.1,NA,NA,x,xxx,xx,NA,NA
NL,Netherlands,MBA,1500-1103,NA,Unknown,"Effenberger 2018, Abb. 33",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,3.1,NA,NA,x,x,x,NA,NA
NL,Netherlands,MBA,1500-1104,NA,Unknown,"Effenberger 2018, Abb. 33",Panicum miliaceum,Panicum miliaceum,NA,1.4,NA,NA,x,x,x,NA,NA
NL,Huidbergsveld,MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 11.1",Quercus sp.,Quercus sp.,NA,NA,1-10,NA,NA,x,xxxx,NA,NA
NL,Kesseleijk-Kemperheide,MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 11.1",Quercus sp.,Quercus sp.,NA,NA,fragments,NA,NA,x,xxxx,NA,NA
NL,"Geldrop, NL",MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 11.1",Quercus sp.,Quercus sp.,NA,NA,100-1000,NA,NA,xxx,xxxx,NA,NA
NL,Son en Breugel,MBA,1800-1100,NA,Unknown,"de Hingh 2000, Table 11.1",Quercus sp.,Quercus sp.,NA,NA,1-10,NA,NA,x,xxxx,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,1,Unknown,Kučan 2007,Hordeum vulgare,Hordeum vulgare,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Hordeum vulgare nudum,Hordeum vulgare nudum,NA,NA,>100,NA,x,xxx,xxxx,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Avena sativa,Avena sativa,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Avena fatua,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Avena sp.,Avena sp.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Triticum dicoccum,Triticum dicoccum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Triticum monococcum,Triticum monococcum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Triticum spelta,Triticum spelta,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Triticum aestivum s.l.,Triticum aestivum s.l.,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Secale cereale,Secale cereale,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Panicum miliaceum,Panicum miliaceum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Linum usitatissimum,Linum usitatissimum,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Vicia faba var. Minor,Vicia faba var. Minor,NA,NA,0,NA,0,0,0,NA,NA
NL,"Elp 69, Prov. Drenthe, NL",MBA A,1800-1500,NA,Unknown,Kučan 2007,Pisum sativum,Pisum sativum,NA,NA,0,NA,0,0,0,NA,NA
