Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
DK,Baltic Sea Coast/Islands,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 34",Camelina sativa,Camelina sativa,NA,NA,NA,25.2,x,xx?,xx?,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Linum usitatissimum,Linum usitatissimum,NA,0,0,NA,0,0,0,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3","Hordeum vulgare (rachis, glumes)",Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,Bjerre Enge 4 (ploughsoil),LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,0,0,NA,0,0,0,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,Bodbjerg Ditch,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 3",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,0,0,NA,0,0,0,NA,NA
DK,Denmark,LBA,1000-500,NA,Unknown,"Robinson 2003, Table 2",Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,0,0,0,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Corylus avellana,Corylus avellana,NA,NA,NA,55.4,x,xx?,xxx?,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Arrhenatherum el. Ssp. Bulbosum,Arrhenatherum el. Ssp. Bulbosum,NA,NA,NA,55.4,x,xx?,xxx?,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Rubus idaeus,Rubus sp.,NA,NA,NA,22.1,x,x?,x?,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Rubus fruticosus,Rubus sp.,NA,NA,NA,11.1,x,x?,x?,NA,NA
DK,Denmark,LBA,1100-600,NA,Unknown,Effenberger 2018,Crataegus sp.,Crataegus sp.,NA,NA,NA,11.1,x,x?,x?,NA,NA
DK,Denmark North Sea Coast,LBA,1100-600,1,Unknown,"Effenberger 2018, Abb. 34",Linum usitatissimum,Linum usitatissimum,NA,NA,NA,30.9,x,x?,xx?,NA,NA
DK,Denmark North Sea Coast,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 34",Camelina sativa,Camelina sativa,NA,NA,NA,43.3,x,x?,xx?,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,1,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A2 (3-aisled)",LBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Panicum miliaceum,Panicum miliaceum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,1,Unknown,"Robinson 2003, Table 7",Triticum monococcum,Triticum monococcum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Triticum spelta,Triticum spelta,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Panicum miliaceum,Panicum miliaceum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Triticum aestivum,Triticum aestivum,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Ch. A500 outbuilding",LBA,1000-500,NA,Unknown,"Robinson 2003, Table 7",Triticum dicoccum,Triticum dicoccum,NA,0,0,NA,0,0,0,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 34",Pisum sativum,Pisum sativum,NA,NA,NA,44.7,x,xxx?,xx?,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 34",Vicia faba,Vicia faba,NA,NA,NA,11.3,x,xx?,x?,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 34",Lens culinaris,Lens culinaris,NA,NA,NA,22.4,x,xx?,x?,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 34",Linum usitatissimum,Linum usitatissimum,NA,NA,NA,33.6,x,xxx?,xx?,NA,NA
G,Brandenburg,LBA,1100-600,NA,Unknown,"Effenberger 2018, Abb. 34",Camelina sativa,Camelina sativa,NA,NA,NA,11.3,x,xx?,x?,NA,NA
G,Brandenburg,LBA,1100-600,NA,Grave,"Effenberger 2018, Abb. 34",Pisum sativum,Pisum sativum,NA,NA,NA,100,x,xxxx?,xxxx?,NA,NA
G,Brandenburg,LBA,1100-600,NA,Grave,"Effenberger 2018, Abb. 34",Vicia faba,Vicia faba,NA,NA,NA,100,x,xxxx?,xxxx?,NA,NA
G,Brandenburg,LBA,1100-600,NA,Grave,"Effenberger 2018, Abb. 34",Lens culinaris,Lens culinaris,NA,NA,NA,100,x,xxxx?,xxxx?,NA,NA
G,Germany,LBA,1100-600,NA,Unknown,Effenberger 2018,Corylus avellana,Corylus avellana,NA,NA,NA,74.8,x,xxxx?,xxx?,NA,NA
G,Germany,LBA,1100-600,NA,Unknown,Effenberger 2018,Quercus sp.,Quercus sp.,NA,NA,NA,30.9,x,xxx?,xx?,NA,NA
G,Germany,LBA,1100-600,NA,Unknown,Effenberger 2018,Arrhenatherum el. Ssp. Bulbosum,Arrhenatherum el. Ssp. Bulbosum,NA,NA,NA,12.6,x,xx?,x?,NA,NA
G,Germany,LBA,1100-600,NA,Unknown,Effenberger 2018,Rubus idaeus,Rubus sp.,NA,NA,NA,12.6,x,xx?,x?,NA,NA
G,Germany,LBA,1100-600,NA,Unknown,Effenberger 2018,Rubus fruticosus,Rubus sp.,NA,NA,NA,6.3,x,x?,x?,NA,NA
G,Germany,LBA,1100-600,NA,Unknown,Effenberger 2018,Prunus spinosa,Prunus spinosa,NA,NA,NA,31.1,x,xx?,xx?,NA,NA
G,Germany,LBA,1100-600,NA,Unknown,Effenberger 2018,Malus sp.,Malus sp.,NA,NA,NA,31.1,x,xx?,xx?,NA,NA
G,Germany,LBA,1100-600,NA,Unknown,Effenberger 2018,Fragaria sp.,Fragraria sp.,NA,NA,NA,12.6,x,xx?,x?,NA,NA
